==========================================
SLURM_CLUSTER_NAME = param-shivay
SLURM_JOB_ACCOUNT = electronics_engg
SLURM_JOB_ID = 911407
SLURM_JOB_NAME = paper14
SLURM_JOB_NODELIST = gpu001
SLURM_JOB_USER = jasnoors.ece21.itbhu
SLURM_JOB_UID = 5861
SLURM_JOB_PARTITION = gpu
SLURM_TASK_PID = 22649
SLURM_SUBMIT_DIR = /home/jasnoors.ece21.itbhu/ubiq14
SLURM_CPUS_ON_NODE = 40
SLURM_NTASKS = 40
SLURM_TASK_PID = 22649
==========================================
PyTorch version: 2.1.0
Using device: cuda
done loading models
Student logits shape: torch.Size([1, 10575])
Student hidden representation shape: torch.Size([1, 1280])
Student hidden correct size representation shape: torch.Size([1, 512])
Teacher hidden representation shape: torch.Size([1, 512])
Epoch 273/300, Loss: 6.979377731657551
Epoch 274/300, Loss: 6.979377736134895
Epoch 275/300, Loss: 6.979377719469225
Epoch 276/300, Loss: 6.979377723449086
Epoch 277/300, Loss: 6.979377734144964
Epoch 278/300, Loss: 6.979377728175172
Epoch 279/300, Loss: 6.979377707778381
Epoch 280/300, Loss: 6.979377719469225
Epoch 281/300, Loss: 6.979377736134895
Epoch 282/300, Loss: 6.979377720961673
Epoch 283/300, Loss: 6.979377724941534
Epoch 284/300, Loss: 6.979377718723001
Epoch 285/300, Loss: 6.979377721459155
Epoch 286/300, Loss: 6.979377739617274
Epoch 287/300, Loss: 6.979377723449086
Epoch 288/300, Loss: 6.979377713996915
Epoch 289/300, Loss: 6.979377735886153
Epoch 290/300, Loss: 6.979377737627343
Epoch 291/300, Loss: 6.979377722702862
Epoch 292/300, Loss: 6.979377712504467
Epoch 293/300, Loss: 6.979377722951604
Epoch 294/300, Loss: 6.979377737627343
Epoch 295/300, Loss: 6.979377718225518
Epoch 296/300, Loss: 6.979377715240622
Epoch 297/300, Loss: 6.979377722454121
Epoch 298/300, Loss: 6.979377733896222
Epoch 299/300, Loss: 6.979377740612239
Epoch 300/300, Loss: 6.979377724692793
